variable,value,0,1
t_score,T1a,345,327
t_score,T1b,308,310
t_score,T1c,335,325
t_score,T2a,444,444
t_score,T2b,441,435
t_score,T2c,464,403
t_score,T3a,646,429
t_score,T3b,647,458
t_score,T3c,602,411
t_score,T4,1767,1065
n_score,N0,3240,3403
n_score,N1,2191,704
n_score,NX,568,500
m_score,M0,5315,4468
m_score,M1a,248,49
m_score,M1b,156,28
m_score,M1c,280,62
stage,I,127,247
stage,IIA,597,829
stage,IIB,1324,1085
stage,III,834,956
stage,IV,3117,1490
race,1,388,236
race,2,872,688
race,3,231,196
race,4,4449,3438
race,NA,59,49
family_history,0,3978,3145
family_history,1,1759,1261
family_history,2,220,176
family_history,3,36,22
family_history,4,4,3
family_history,5,2,0
first_degree_history,0,4914,3857
first_degree_history,1,988,684
first_degree_history,2,84,59
first_degree_history,3,10,6
first_degree_history,4,3,1
previous_cancer,0,5624,4336
previous_cancer,1,375,271
smoker,0,5717,4362
smoker,1,282,245
side,both,3024,2345
side,left,1154,891
side,right,1821,1371
tea,0,426,339
tea,1,1025,812
tea,2,1389,1086
tea,3,1157,882
tea,4,772,562
tea,5,354,257
tea,6,177,118
tea,7,64,52
tea,8,21,16
tea,9,12,5
tea,10,1,1
tea,12,1,0
tea,NA,600,477
rd_thrpy,0,2431,2463
rd_thrpy,1,3568,2144
h_thrpy,0,3972,2987
h_thrpy,1,2027,1620
chm_thrpy,0,1836,1775
chm_thrpy,1,4163,2832
cry_thrpy,0,4681,3373
cry_thrpy,1,1318,1234
brch_thrpy,0,4631,3372
brch_thrpy,1,1368,1235
rad_rem,0,4980,3764
rad_rem,1,1019,843
multi_thrpy,0,1169,1153
multi_thrpy,1,4830,3454
survival_1_year,0,1107,0
survival_1_year,1,4892,4607
